id_cliente;genero;idade;continente;pais;estado
301;Female;86;Oceania;Australia;South Australia
325;Female;45;Oceania;Australia;Western Australia
554;Female;78;Oceania;Australia;Victoria
786;Male;67;Oceania;Australia;South Australia
1042;Male;59;Oceania;Australia;Victoria
1086;Male;71;Oceania;Australia;South Australia
1133;Male;55;Oceania;Australia;Queensland
1256;Male;75;Oceania;Australia;Queensland
1314;Male;59;Oceania;Australia;Northern Territory
1568;Male;50;Oceania;Australia;Victoria
1585;Female;34;Oceania;Australia;Victoria
1626;Female;39;Oceania;Australia;Victoria
1642;Female;60;Oceania;Australia;New South Wales
1677;Male;60;Oceania;Australia;Queensland
1817;Female;39;Oceania;Australia;Victoria
1863;Female;40;Oceania;Australia;Queensland
1945;Male;50;Oceania;Australia;Western Australia
2238;Female;55;Oceania;Australia;Victoria
2248;Male;37;Oceania;Australia;Victoria
2435;Female;57;Oceania;Australia;New South Wales
2469;Female;77;Oceania;Australia;Queensland
2512;Female;32;Oceania;Australia;Victoria
2604;Female;30;Oceania;Australia;Queensland
2751;Male;45;Oceania;Australia;Queensland
2792;Male;48;Oceania;Australia;Victoria
2836;Male;66;Oceania;Australia;Queensland
3002;Male;24;Oceania;Australia;Tasmania
3006;Female;82;Oceania;Australia;New South Wales
3203;Male;26;Oceania;Australia;New South Wales
3270;Male;77;Oceania;Australia;New South Wales
3327;Female;77;Oceania;Australia;Victoria
3410;Male;75;Oceania;Australia;Queensland
3575;Male;83;Oceania;Australia;Victoria
3964;Female;81;Oceania;Australia;Victoria
4004;Female;30;Oceania;Australia;Queensland
4174;Female;34;Oceania;Australia;Western Australia
4633;Female;61;Oceania;Australia;Queensland
4734;Male;79;Oceania;Australia;Western Australia
4808;Male;81;Oceania;Australia;New South Wales
4811;Male;30;Oceania;Australia;Western Australia
5097;Female;82;Oceania;Australia;Queensland
5445;Male;72;Oceania;Australia;Victoria
5962;Male;86;Oceania;Australia;New South Wales
6193;Female;79;Oceania;Australia;South Australia
6242;Male;61;Oceania;Australia;Western Australia
6258;Male;49;Oceania;Australia;Victoria
6308;Male;24;Oceania;Australia;Victoria
6459;Male;83;Oceania;Australia;Victoria
6794;Female;54;Oceania;Australia;Tasmania
7109;Male;45;Oceania;Australia;New South Wales
7122;Female;25;Oceania;Australia;Western Australia
7313;Female;35;Oceania;Australia;South Australia
7398;Male;80;Oceania;Australia;Queensland
7493;Male;47;Oceania;Australia;Queensland
7494;Male;58;Oceania;Australia;Queensland
7566;Male;32;Oceania;Australia;Victoria
7664;Male;78;Oceania;Australia;South Australia
7700;Male;50;Oceania;Australia;New South Wales
7725;Female;57;Oceania;Australia;Queensland
7783;Female;63;Oceania;Australia;Victoria
8098;Female;58;Oceania;Australia;Western Australia
8181;Female;40;Oceania;Australia;Victoria
8220;Male;79;Oceania;Australia;South Australia
8789;Female;26;Oceania;Australia;Northern Territory
8794;Female;62;Oceania;Australia;Queensland
8945;Female;86;Oceania;Australia;New South Wales
9167;Male;49;Oceania;Australia;South Australia
9184;Male;60;Oceania;Australia;Victoria
9360;Male;70;Oceania;Australia;New South Wales
9370;Female;72;Oceania;Australia;Australian Capital Territory
9389;Female;69;Oceania;Australia;New South Wales
9456;Male;84;Oceania;Australia;Queensland
9812;Female;72;Oceania;Australia;New South Wales
9915;Female;33;Oceania;Australia;Western Australia
10039;Female;77;Oceania;Australia;Queensland
10189;Female;63;Oceania;Australia;New South Wales
10276;Male;52;Oceania;Australia;New South Wales
10299;Male;88;Oceania;Australia;New South Wales
10332;Male;88;Oceania;Australia;Western Australia
10393;Male;43;Oceania;Australia;Queensland
10395;Male;29;Oceania;Australia;Western Australia
10481;Female;48;Oceania;Australia;New South Wales
10504;Male;44;Oceania;Australia;Western Australia
10717;Male;44;Oceania;Australia;Western Australia
11035;Female;85;Oceania;Australia;New South Wales
11090;Female;72;Oceania;Australia;New South Wales
11587;Male;47;Oceania;Australia;Western Australia
11736;Female;34;Oceania;Australia;Queensland
12084;Male;67;Oceania;Australia;South Australia
12160;Male;68;Oceania;Australia;New South Wales
12162;Female;70;Oceania;Australia;Victoria
12207;Male;69;Oceania;Australia;Queensland
12256;Female;34;Oceania;Australia;New South Wales
12365;Female;67;Oceania;Australia;New South Wales
12385;Female;44;Oceania;Australia;South Australia
12392;Female;68;Oceania;Australia;South Australia
12649;Female;59;Oceania;Australia;Victoria
12729;Male;87;Oceania;Australia;New South Wales
12810;Male;68;Oceania;Australia;Victoria
12859;Male;83;Oceania;Australia;Western Australia
12868;Male;64;Oceania;Australia;South Australia
13045;Female;67;Oceania;Australia;Queensland
13071;Female;52;Oceania;Australia;Western Australia
13232;Female;39;Oceania;Australia;South Australia
13365;Male;64;Oceania;Australia;New South Wales
13607;Female;70;Oceania;Australia;South Australia
14069;Male;76;Oceania;Australia;New South Wales
14180;Female;27;Oceania;Australia;Western Australia
14275;Female;46;Oceania;Australia;New South Wales
14906;Female;42;Oceania;Australia;Tasmania
14962;Female;89;Oceania;Australia;New South Wales
14988;Female;67;Oceania;Australia;Victoria
15109;Female;25;Oceania;Australia;New South Wales
15385;Male;30;Oceania;Australia;Western Australia
15391;Female;36;Oceania;Australia;Victoria
15569;Female;41;Oceania;Australia;Victoria
15718;Female;68;Oceania;Australia;Queensland
16193;Female;61;Oceania;Australia;South Australia
16282;Female;25;Oceania;Australia;New South Wales
16716;Female;37;Oceania;Australia;New South Wales
17412;Male;55;Oceania;Australia;Western Australia
17811;Female;39;Oceania;Australia;Victoria
18067;Male;83;Oceania;Australia;South Australia
18263;Male;47;Oceania;Australia;Queensland
18309;Male;33;Oceania;Australia;Victoria
18470;Male;56;Oceania;Australia;New South Wales
18493;Male;30;Oceania;Australia;New South Wales
18714;Male;52;Oceania;Australia;Western Australia
18887;Female;46;Oceania;Australia;Victoria
19082;Male;86;Oceania;Australia;Queensland
19207;Male;34;Oceania;Australia;Victoria
19404;Male;28;Oceania;Australia;Queensland
19534;Female;60;Oceania;Australia;Victoria
19579;Female;75;Oceania;Australia;Queensland
19726;Female;52;Oceania;Australia;New South Wales
19732;Female;43;Oceania;Australia;South Australia
19753;Female;29;Oceania;Australia;Tasmania
19916;Male;34;Oceania;Australia;New South Wales
20069;Male;44;Oceania;Australia;Western Australia
20092;Female;78;Oceania;Australia;New South Wales
20237;Male;39;Oceania;Australia;Victoria
20623;Female;31;Oceania;Australia;Victoria
20802;Male;80;Oceania;Australia;South Australia
20946;Female;25;Oceania;Australia;Western Australia
21203;Male;65;Oceania;Australia;Victoria
21387;Male;55;Oceania;Australia;New South Wales
21424;Male;84;Oceania;Australia;Victoria
21460;Female;67;Oceania;Australia;Western Australia
21523;Male;55;Oceania;Australia;New South Wales
21575;Male;33;Oceania;Australia;Western Australia
21654;Female;75;Oceania;Australia;South Australia
21819;Female;25;Oceania;Australia;Tasmania
21870;Female;33;Oceania;Australia;South Australia
22158;Male;28;Oceania;Australia;New South Wales
22384;Male;74;Oceania;Australia;Australian Capital Territory
22540;Male;36;Oceania;Australia;Western Australia
22775;Male;66;Oceania;Australia;Tasmania
22826;Male;48;Oceania;Australia;Queensland
23128;Male;25;Oceania;Australia;Victoria
23203;Female;26;Oceania;Australia;Western Australia
23267;Female;71;Oceania;Australia;Queensland
23320;Female;65;Oceania;Australia;Western Australia
23431;Female;54;Oceania;Australia;Victoria
23599;Female;35;Oceania;Australia;New South Wales
23854;Male;82;Oceania;Australia;New South Wales
24069;Male;40;Oceania;Australia;New South Wales
24230;Female;45;Oceania;Australia;South Australia
24575;Female;25;Oceania;Australia;Queensland
24920;Female;87;Oceania;Australia;South Australia
25308;Female;38;Oceania;Australia;New South Wales
25771;Female;65;Oceania;Australia;New South Wales
25864;Male;30;Oceania;Australia;Victoria
25935;Male;50;Oceania;Australia;New South Wales
26458;Male;46;Oceania;Australia;Victoria
26477;Male;65;Oceania;Australia;New South Wales
26642;Male;46;Oceania;Australia;New South Wales
26728;Female;46;Oceania;Australia;New South Wales
26906;Male;51;Oceania;Australia;New South Wales
26914;Female;84;Oceania;Australia;Victoria
26970;Female;34;Oceania;Australia;Victoria
27125;Female;49;Oceania;Australia;South Australia
27210;Male;52;Oceania;Australia;New South Wales
27356;Male;55;Oceania;Australia;New South Wales
27432;Female;26;Oceania;Australia;South Australia
27492;Female;37;Oceania;Australia;Victoria
27616;Male;38;Oceania;Australia;Victoria
27896;Male;51;Oceania;Australia;Western Australia
27945;Male;51;Oceania;Australia;New South Wales
28076;Female;46;Oceania;Australia;Tasmania
28559;Male;56;Oceania;Australia;South Australia
28690;Male;37;Oceania;Australia;Queensland
28702;Female;59;Oceania;Australia;Queensland
29041;Male;87;Oceania;Australia;Victoria
29278;Male;34;Oceania;Australia;Queensland
29303;Male;42;Oceania;Australia;South Australia
29320;Male;86;Oceania;Australia;New South Wales
29475;Female;60;Oceania;Australia;New South Wales
29555;Male;33;Oceania;Australia;New South Wales
29593;Male;29;Oceania;Australia;South Australia
29647;Female;69;Oceania;Australia;New South Wales
